Date,Rainfall ,MinT,MaxT,Env,backup
1/1/17,0,9,18.2,Kobo,18.2
1/2/17,0,9,18.1,Kobo,18.1
1/3/17,0,9,17.9,Kobo,17.9
1/4/17,0,11.3,18.8,Kobo,18.8
1/5/17,0,12,18.9,Kobo,18.9
1/6/17,0,12.3,18.2,Kobo,18.2
1/7/17,0,10.2,18,Kobo,18
1/8/17,0,10,17.5,Kobo,17.5
1/9/17,0,9.3,16.4,Kobo,16.4
1/10/17,0,9.5,15.8,Kobo,15.8
1/11/17,0,9.5,16.5,Kobo,16.5
1/12/17,0,8.5,17.3,Kobo,17.3
1/13/17,0,6.3,16.6,Kobo,16.6
1/14/17,0,6,17,Kobo,17
1/15/17,0,7.4,26,Kobo,26
1/16/17,0,7,26.3,Kobo,26.3
1/17/17,0,8.3,27,Kobo,27
1/18/17,0,10,26.9,Kobo,26.9
1/19/17,0,12,27.3,Kobo,27.3
1/20/17,0,11.4,26.8,Kobo,26.8
1/21/17,0,18,25.5,Kobo,25.5
1/22/17,0,11.12,20,Kobo,20
1/23/17,0,11,29.3,Kobo,29.3
1/24/17,0,11,19.4,Kobo,19.4
1/25/17,0,13,34,Kobo,34
1/26/17,0,19,29,Kobo,29
1/27/17,0,20.2,27,Kobo,27
1/28/17,0,19.1,26.6,Kobo,26.6
1/29/17,0,19.2,25.4,Kobo,25.4
1/30/17,0,19.5,26,Kobo,26
1/31/17,0,19.3,27.1,Kobo,27.1
2/1/17,0,18.9,26.6,Kobo,26.6
2/2/17,0,20.1,27.1,Kobo,27.1
2/3/17,0,20.3,26.6,Kobo,26.6
2/4/17,0,19.9,26.3,Kobo,26.3
2/5/17,0,17.7,26,Kobo,26
2/6/17,0,18.2,27,Kobo,27
2/7/17,0,18.1,27.6,Kobo,27.6
2/8/17,0,18.2,28.1,Kobo,28.1
2/9/17,0,18.5,28.1,Kobo,28.1
2/10/17,0,19,29.3,Kobo,29.3
2/11/17,0,20.2,29.3,Kobo,29.3
2/12/17,0,20.1,29.9,Kobo,29.9
2/13/17,0,23,32,Kobo,32
2/14/17,0,21.4,31.2,Kobo,31.2
2/15/17,0,20.8,29.3,Kobo,29.3
2/16/17,0,20.4,29.5,Kobo,29.5
2/17/17,5.5,20,30.1,Kobo,30.1
2/18/17,0,19,29.2,Kobo,29.2
2/19/17,0,22.6,31,Kobo,31
2/20/17,0,23.6,29.2,Kobo,29.2
2/21/17,1.7,23.3,29.4,Kobo,29.4
2/22/17,0,23.7,29.9,Kobo,29.9
2/23/17,0,24.1,31.1,Kobo,31.1
2/24/17,0,24.4,32.8,Kobo,32.8
2/25/17,0,23.3,33.1,Kobo,33.1
2/26/17,0,24.3,31.6,Kobo,31.6
2/27/17,2.1,23.6,32.1,Kobo,32.1
2/28/17,2.7,21.4,30.3,Kobo,30.3
3/1/17,0,21.6,29.1,Kobo,29.1
3/2/17,0,21.5,27,Kobo,27
3/3/17,0,21.7,27.3,Kobo,27.3
3/4/17,0,20.9,26.8,Kobo,26.8
3/5/17,0,21.7,28.4,Kobo,28.4
3/6/17,0,22.2,29.4,Kobo,29.4
3/7/17,0,22.5,30.11,Kobo,30.11
3/8/17,0,22,30,Kobo,30
3/9/17,0,22.5,30.6,Kobo,30.6
3/10/17,0,21.4,30.6,Kobo,30.6
3/11/17,0,20.7,30.3,Kobo,30.3
3/12/17,0,22.1,31.3,Kobo,31.3
3/13/17,0,22.1,29.2,Kobo,29.2
3/14/17,0,22,30.1,Kobo,30.1
3/15/17,2.4,22.2,29.2,Kobo,29.2
3/16/17,0.7,21.6,27.2,Kobo,27.2
3/17/17,3.8,20.2,27.8,Kobo,27.8
3/18/17,1.2,19.8,27,Kobo,27
3/19/17,0,21,28.1,Kobo,28.1
3/20/17,0,23.3,29.4,Kobo,29.4
3/21/17,0,22.9,30.1,Kobo,30.1
3/22/17,0,23.1,30.2,Kobo,30.2
3/23/17,0,22.8,31.1,Kobo,31.1
3/24/17,0,22.6,31.2,Kobo,31.2
3/25/17,0,23.6,33.3,Kobo,33.3
3/26/17,0,21.8,29,Kobo,29
3/27/17,0,21.3,29.5,Kobo,29.5
3/28/17,0,21.4,29.8,Kobo,29.8
3/29/17,0,23.5,32.4,Kobo,32.4
3/30/17,0,24.5,33,Kobo,33
3/31/17,0,24,33,Kobo,
4/1/17,0,19,32,Kobo,32
4/2/17,9.4,22.9,34,Kobo,34
4/3/17,0,22.6,31,Kobo,31
4/4/17,7.1,22.4,31,Kobo,31
4/5/17,0,23.3,29,Kobo,29
4/6/17,0,24.7,30,Kobo,30
4/7/17,5.2,23.8,29,Kobo,29
